name,report_title,content
URINE Examination,URINE Examination,"<table>
	<colgroup>
		<col />
		<col />
	</colgroup>
	<tbody>
		<tr>
			<td>Urine Examination</td>
			<td>Test Description</td>
			<td>Value Observed /Interval</td>
			<td>Biological Reference</td>
		</tr>
		<tr>
			<td>Physical:</td>
			<td>Colour</td>
			<td>Pale Yellow / Yellow</td>
			<td>Pale</td>
		</tr>
		<tr>
			<td></td>
			<td>Transparency</td>
			<td>Clear</td>
			<td></td>
		</tr>
		<tr>
			<td></td>
			<td>Specific Gravity</td>
			<td>1.030 1.035</td>
			<td>1.003-</td>
		</tr>
		<tr>
			<td></td>
			<td>pH</td>
			<td>7.2</td>
			<td>4.6-8.0</td>
		</tr>
		<tr>
			<td>Biochemical:</td>
			<td>Protein</td>
			<td>Present(+)50mg%</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Glucose</td>
			<td>Nil</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Bile Salt</td>
			<td>Absent.</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Bile Pigment</td>
			<td>Absent.</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Urobilinogen</td>
			<td>Normal</td>
			<td>Normal</td>
		</tr>
		<tr>
			<td></td>
			<td>Chyle</td>
			<td>Nil</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td>Microscopic:</td>
			<td>Pus Cells</td>
			<td>Present(15-20)/Hpf/Hpf</td>
			<td>&lt; 5</td>
		</tr>
		<tr>
			<td></td>
			<td>W.B.C / Leucocytes</td>
			<td>Nil</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Red Blood Cells</td>
			<td>Nil/Hpf</td>
			<td>2-3</td>
		</tr>
		<tr>
			<td></td>
			<td>Epithelial Cells</td>
			<td>Present(2-5)/Hpf/Hpf</td>
			<td>2-3</td>
		</tr>
		<tr>
			<td></td>
			<td>Casts</td>
			<td>Nil</td>
			<td>Nil</td>
		</tr>
		<tr>
			<td></td>
			<td>Crystals</td>
			<td>Nil</td>
			<td>Occasional</td>
		</tr>
	</tbody>
</table>
"
HBA,HEAMTO BIOCHEMICAL EXAMINATION REPORT,"<meta charset=""utf-8"" />
<p dir=""ltr"">GLYCOSYLETED HEAMOGLOBIN ( GHb )<br />
   HbA1C : 5.80 %<br />
GHbA1 : 7.8 %<br />
   MBG : 107</p>

<p dir=""ltr""><br />
NORMAL REFERANCE VALUES ABOUT</p>

<p dir=""ltr"">HbA1 HbA1C<br />
Normal : &lt; 8:0 % &lt; 6.0 %<br />
Good Control : 8.0 -9.0 % 6.0 - 7.0 %<br />
Fair Control : 9.0-10.0 % 7.0-8.0 %<br />
Poor Control : &gt; 10.0 % &gt; 8.0 %</p>

--------------------------------------------------------------------------------------------------------------------------------

About Glycosyleted hemoglobin ( Ghb ) is formed by continuously adduction glucose by covalentbonding to the amino terminal valine to beta chain of hemoglobin. Stable over period of life of RBC.

--------------------------------------------------------------------------------------------------------------------------------

It is recommended each Laboratory establishes own normal range representing is patient population.

Adv : Clinical correlation and further investigation.
"
P.P.D Mantox test,P.P.D Mantox test,"<meta charset=""utf-8"" />
MANTOUX TEST

--------------------------------------------------------------------------------------------------------------------------------

The mantoux test in the strength of 10 TU / P.P.D is Negative

Induration and erythema is 02 mm. Incubation period is 48 hours.

--------------------------------------------------------------------------------------------------------------------------------

Advise- Clinical correlation &amp; further investigation.
"
Stool,Stool Examination,"<h2></h2>

<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px;"">
	<tbody>
		<tr>
			<td>OCCULT BLOOD</td>
			<td>Ist  Day</td>
			<td>ABSENT</td>
		</tr>
		<tr>
			<td>OCCULT BLOOD</td>
			<td>IInd  Day</td>
			<td>ABSENT</td>
		</tr>
		<tr>
			<td>OCCULT BLOOD</td>
			<td>IIIrd Day</td>
			<td>ABSENT</td>
		</tr>
	</tbody>
</table>
"
CHILD,CHILD,"<table>
    <colgroup>
        <col />
        <col />
    </colgroup>
    <tbody>
    <tr>
        <td>
            Test Description
        </td>
        <td>Value Observed /Interval</td>
        <td>
            Biological Reference
        </td>
    </tr>
    <tr>
        <td>
            
        </td>
        <td>(13.5-18.0 gm%)</td>
        <td>
            M
        </td>
    </tr>
    <tr>
        <td>
            HAEMOGLOBIN
        </td>
        <td>12.0 gm% <br />
            (11.5-16.0 gm%) </td>
        <td>
                                      F 
        </td>
    </tr>
    <tr>
        <td>
            TOTAL LEUCOCYTE COUNT
        </td>
        <td>12,500/cumm</td>
        <td>
            (0-01)(6,000-15,000 /cumm)
        </td>
    </tr>
    <tr>
        <td>
            
        </td>
        <td></td>
        <td>
            (0-10)(4,500-13,000 /cumm)
        </td>
    </tr>
    <tr>
        <td>
            D.L.C
        </td>
        <td></td>
        <td>
            
        </td>
    </tr>
    <tr>
        <td>
            NEUTROPHILS
        </td>
        <td>23 %</td>
        <td>
            ( 20 - 40 % )
        </td>
    </tr>
    <tr>
        <td>
            LYMPHOCYTES
        </td>
        <td>63 %</td>
        <td>
            ( 40 - 60 % )
        </td>
    </tr>
    <tr>
        <td>
            EOSINOPHILS
        </td>
        <td>14 %</td>
        <td>
            ( 00 - 06 % )
        </td>
    </tr>
    <tr>
        <td>
            MONOCYTES
        </td>
        <td>00 %</td>
        <td>
            ( 01 - 02 % )
        </td>
    </tr>
    <tr>
        <td>
            BASOPHILS
        </td>
        <td>00 % </td>
        <td>
            ( 00 - 00 % )
        </td>
    </tr>
    <tr>
        <td>
            WIDAL TEST
        </td>
        <td></td>
        <td>
            REACTOIN IS POSITIVE.
        </td>
    </tr>
    <tr>
        <td>
            S: TYPHI &#39; O &#39;
        </td>
        <td></td>
        <td>
            1:160 DILUTION POSITIVE.
        </td>
    </tr>
    <tr>
        <td>
            S: TYPHI &#39; H &#39;
        </td>
        <td></td>
        <td>
            1:160 DILUTION POSITIVE.
        </td>
    </tr>
    <tr>
        <td>
            S: PARA TYPHI &#39; AH &#39;
        </td>
        <td></td>
        <td>
            NEGATIVE.
        </td>
    </tr>
    <tr>
        <td>
            S: PARA TYPHI &#39; BH &#39;
        </td>
        <td></td>
        <td>
            NEGATIVE.
        </td>
    </tr>
    <tr>
        <td>
            MALARIA PARASITE (ANTIGEN) TEST
        </td>
        <td></td>
        <td>
            NEGATIVE.
        </td>
    </tr>
    </tbody>
</table>


"
G.B.P,G.B.P,"<meta charset=""utf-8"" />
G E N E R A L B L O O D P I C T U R E :-

<p dir=""ltr""><br />
* R. B. C.&#39; s are normocytic normochromic</p>

* Platelets are within normal limits.

* There are no blasts ( Precursor cells )

* Total leukocyte are adequate in numbers and reveal normal distribution.      

* Smear are negative for malaria &amp; microfilarial parasites .


"
Fluid Examination,Fluid Examination,"<table>
	<colgroup>
		<col />
		<col />
	</colgroup>
	<tbody>
		<tr>
			<td colspan=""2"">ASCITIC FLUID EXAMINATION</td>
		</tr>
		<tr>
			<td colspan=""2"">ROUTINE</td>
		</tr>
		<tr>
			<td>Volume</td>
			<td>4.0 Ml.</td>
		</tr>
		<tr>
			<td>Colour</td>
			<td>Straw.</td>
		</tr>
		<tr>
			<td>Appearance</td>
			<td>Clear.</td>
		</tr>
		<tr>
			<td>Reaction</td>
			<td>Alkaline.</td>
		</tr>
		<tr>
			<td>Specific gravity</td>
			<td>1.015</td>
		</tr>
		<tr>
			<td>Ph</td>
			<td>9.0</td>
		</tr>
		<tr>
			<td colspan=""2"">BIOCHEMICAL</td>
		</tr>
		<tr>
			<td>Protein</td>
			<td>2.7 gm/dl.</td>
		</tr>
		<tr>
			<td>Sugar</td>
			<td>98.2 mg/dl.</td>
		</tr>
		<tr>
			<td colspan=""2"">MICROSCOPIC</td>
		</tr>
		<tr>
			<td>Total Cells</td>
			<td>7,200 /cmm.</td>
		</tr>
		<tr>
			<td>Differentail Cells</td>
			<td></td>
		</tr>
		<tr>
			<td>Polymorphs</td>
			<td>27 %</td>
		</tr>
		<tr>
			<td>Lymphocytes</td>
			<td>71 %</td>
		</tr>
		<tr>
			<td>Mesothelial Cells</td>
			<td>02 %</td>
		</tr>
	</tbody>
</table>
<br />
* No atypical or epithelioid cells granuloma seen.<br />
* Fine number of R.B.C s &amp; few W.B.C s seen."
Dengu,Dengu,"<table>
	<colgroup>
		<col />
		<col />
	</colgroup>
	<tbody>
		<tr>
			<td>Test Description :-</td>
			<td>Value Observed</td>
			<td>Biological Reference Interval</td>
		</tr>
		<tr>
			<td>DENGUE ELISA :-</td>
			<td></td>
			<td></td>
		</tr>
		<tr>
			<td>N S 1 Antigen</td>
			<td>Negative.</td>
			<td></td>
		</tr>
		<tr>
			<td>I g M Antigen</td>
			<td>Negative.</td>
			<td></td>
		</tr>
		<tr>
			<td>I g G Antigen</td>
			<td>Negative.</td>
			<td></td>
		</tr>
	</tbody>
</table>

INTERPRETATION :-
Result :- Clinical Interpretation .<br />
N S 1 Reactive. Acute Infection.<br />
I g M Reactive Only Acute Primary Infection .<br />
I g M And I g G Reactive Acute secondary Infection.<br />
I g M Reactive Acute Secondary Infection."
LIPID,LIPID,"<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:800px;"">
	<tbody>
		<tr>
			<td>Test Description</td>
			<td>Value Observed</td>
			<td>Biological Reference Interval</td>
		</tr>
		<tr>
			<td>SERUM CHOLESTEROL</td>
			<td>179.0 mg/dl  </td>
			<td> (140-240 mg/dl)</td>
		</tr>
		<tr>
			<td>SERUM TRIGLYCERIDES</td>
			<td>105.0 mg/dl </td>
			<td>(65-170 mg/dl)</td>
		</tr>
		<tr>
			<td>SERUM H.D.L. CHOLESTEROL</td>
			<td>46.4 mg/dl</td>
			<td>(30-70 mg/dl)</td>
		</tr>
		<tr>
			<td>SERUM L.D.L. CHOLESTEROL</td>
			<td>114.0 mg/dl</td>
			<td>     (92-148 mg/dl)</td>
		</tr>
		<tr>
			<td></td>
			<td></td>
			<td></td>
		</tr>
	</tbody>
</table>
<br />
                   <br />
<br />
<br />
SERUM V.L.D.L. CHOLESTEROL 22.8 mg/dl                     (10-30 mg/dl)<br />
<br />
<br />
PLASMA GLUCOSE FASTING 87.2 mg/dl                    (60-110 mg/dl)<br />
<br />
<br />
PLASMA GLUCOSE POST PRANDIAL 124.0 mg/dl                  (100-160 mg/dl)<br />
<br />
<br />
SERUM UREA 20.4 mg/dl                    (10 - 50 mg/dl)<br />
<br />
<br />
<br />
SERUM CREATININE 1.25 mg/dl                  F (0.8-1.2 mg/dl)<br />
<br />
                          M (0.8-1.4 mg/dl)<br />
<br />
SERUM URIC ACID 7.09 mg/dl                  F (2.5-6.2 mg/dl)<br />
<br />
                          M (3.5-7.2 mg/dl)<br />
<br />
SERUM G. P. T. (ALT) 34.9 IU/L                     (05 - 40 IU/L)<br />
<br />
<br />
<br />
SERUM G. O. T. (AST) 45.0 IU/L                     (05 - 40 IU/L)<br />
<br />
Note :- <br />
<br />
------- <br />
<br />
     H.D.L Determination by direct method. <br />
     L.D.L Determination by direct method. <br />
     Not calculated value by friedwald formula. <br />
"
Urine Culture and Sensitivity,Urine Culture and Sensitivity,"<meta charset=""utf-8"" />
<table>
	<colgroup>
		<col />
		<col />
	</colgroup>
	<tbody>
		<tr>
			<td>
			
			</td>
			<td>
			
			</td>
		</tr>
		<tr>
			<td>
			Culture
			</td>
			<td>
			Positive.
			</td>
		</tr>
		<tr>
			<td>
			Bacteria Grown &amp; Isolated
			</td>
			<td>
			Escherichia Coli 
			</td>
		</tr>
		<tr>
			<td>
			Antibiotic Sensitivity Test :
			</td>
			<td>
			
			</td>
		</tr>
		<tr>
			<td>
			Gentamicin
			</td>
			<td>
			Intermediate
			</td>
		</tr>
		<tr>
			<td>
			Amikacin
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Amoxyclav
			</td>
			<td>
			Intermediate
			</td>
		</tr>
		<tr>
			<td>
			Co - trimoxazole
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Ciprofloxacin
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Tetracyline
			</td>
			<td>
			Intermediate
			</td>
		</tr>
		<tr>
			<td>
			Cefuroxime
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Nitrofurantoin
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Norfloxacin
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Netilimicin
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Ceftazidime
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Tobramycin
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Imipenem
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Cefaperazone
			</td>
			<td>
			Intermediate
			</td>
		</tr>
		<tr>
			<td>
			Azithromycin
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Gatifloxacin
			</td>
			<td>
			Intermediate
			</td>
		</tr>
		<tr>
			<td>
			Cefepime
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Ceftriaxone
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Piperacillin + Tazobactum
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Colistin
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Ofloxacin
			</td>
			<td>
			Resistent
			</td>
		</tr>
		<tr>
			<td>
			Meropenem
			</td>
			<td>
			Sensitive
			</td>
		</tr>
		<tr>
			<td>
			Cephotaxime
			</td>
			<td>
			Sensitive
			</td>
		</tr>
	</tbody>
</table>

<p dir=""ltr"">Note :<br />
      Assay results should be interpreted only in the context of other laboratory findings and the total</p>

clinical status of the patient.
"
